file,C1,C1_violating_nodes,C2,C2_violating_nodes,C3,C3_violating_nodes,C4,C4_violating_nodes,C5,C5_violating_nodes,C6,C6_violating_nodes,error
15.txt,True,,True,,True,,True,,True,,True,,
14.txt,True,,True,,True,,True,,False,"12, 13, 20, 31, 40, 41, 65",True,,
16.txt,True,,True,,True,,True,,True,,True,,
17.txt,True,,True,,True,,False,24,False,"9, 11, 12, 19",True,,
12.txt,True,,True,,True,,True,,True,,True,,
10.txt,True,,True,,True,,True,,True,,True,,
11.txt,True,,True,,True,,True,,True,,True,,
9.txt,True,,True,,True,,True,,True,,True,,
8.txt,True,,True,,True,,True,,False,"3, 4, 26",True,,
5.txt,True,,True,,True,,True,,True,,True,,
4.txt,True,,True,,True,,True,,True,,True,,
6.txt,True,,True,,True,,True,,False,"3, 4, 7, 8, 10, 11, 17, 18, 25, 26, 27, 31, 32, 33",True,,
7.txt,True,,True,,True,,True,,True,,True,,
3.txt,True,,True,,True,,True,,False,"3, 4",True,,
2.txt,True,,True,,True,,True,,True,,True,,
1.txt,True,,True,,True,,True,,False,19,True,,
20.txt,True,,True,,True,,True,,True,,True,,
21.txt,True,,True,,True,,True,,False,43,True,,
19.txt,True,,True,,True,,True,,True,,True,,
18.txt,True,,True,,True,,True,,True,,True,,
