## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label,source,base64_image
1,"Start CAB Change Request Process","start","","","",""
2,"Assess the change request","entity","1","","",""
3,"Check affected systems for impacts on business unit","entity","2","","",""
4,"Determine if change request should be approved in current state","condition","3","","",""
5,"Approve the change request","entity","4","","",""
6,"Implement the approved change","entity","5","","",""
7,"End process after implementation","end","6","","",""
8,"Evaluate if change is acceptable with more information provided","condition","4","","",""
9,"Approve the change request after further evaluation","entity","8","","",""
10,"Implement the approved change","entity","9","","",""
11,"End process after implementation","end","10","","",""
12,"Reject the change request","entity","8","","",""
13,"Request more information from Change Coordinator","entity","12","","",""
14,"Send email enquiry to Change Coordinator","entity","13","","",""
15,"Update approval register within 3 business days","entity","14","","",""
16,"Forward email enquiry to Change Requester","entity","14","","",""
17,"Are there any further inquiries or issues from CAB?","condition","15,16","","",""
18,"Conclude process after 3 business days if no inquiries","end","17","","",""
19,"Expect response from requester within 1-3 business days","entity","17","","",""
20,"Receive response from requester","entity","19","","",""
21,"Forward response to CAB for further evaluation","entity","20","","",""
22,"Final determination regarding approval of change request","condition","21","","",""
23,"Approve the change request","entity","22","","",""
24,"Implement the approved change","entity","23","","",""
25,"End process after implementation","end","24","","",""
26,"Reject the change request","entity","22","","",""
27,"End process after rejection","end","26","","",""
