file,C1,C1_violating_nodes,C2,C2_violating_nodes,C3,C3_violating_nodes,C4,C4_violating_nodes,C5,C5_violating_nodes,C6,C6_violating_nodes,error
15.txt,True,,True,,True,,True,,False,"4, 5, 7",False,"4, 5, 7, 9, 3, 10, 2, 8, 6",
14.txt,True,,True,,True,,True,,False,"21, 23, 37, 49, 51, 70, 74",True,,
16.txt,True,,True,,True,,True,,True,,True,,
17.txt,True,,True,,True,,True,,False,10,False,"24, 20, 37, 27, 22, 36, 35, 31, 29, 34, 33, 38, 25, 26, 28, 23, 21, 30, 32",
12.txt,True,,True,,True,,True,,True,,True,,
10.txt,True,,True,,True,,True,,False,8,True,,
11.txt,True,,True,,True,,True,,True,,True,,
9.txt,True,,True,,True,,True,,True,,True,,
8.txt,True,,True,,True,,True,,False,33,True,,
5.txt,True,,True,,True,,True,,True,,True,,
4.txt,True,,True,,True,,True,,True,,True,,
6.txt,True,,True,,True,,True,,True,,True,,
7.txt,True,,True,,True,,True,,True,,True,,
3.txt,True,,True,,True,,True,,True,,True,,
2.txt,True,,True,,True,,True,,False,19,True,,
1.txt,True,,True,,True,,True,,True,,True,,
20.txt,True,,True,,True,,True,,False,5,True,,
21.txt,True,,True,,True,,True,,False,"6, 49",True,,
19.txt,True,,True,,True,,True,,True,,True,,
18.txt,True,,True,,True,,True,,False,"3, 4, 5, 11, 12, 13",True,,
