## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label,source,base64_image
1,"Start process for WIGGO","start","","","",""
2,"Place an Order","entity","1","","",""
3,"Check the Customers Credit Limit","condition","2","","",""
4,"Customer Credit Limit is Okay","entity","3","","",""
5,"Send Denial to the Customer","entity","3","","",""
6,"End","end","5","","",""
7,"Check the Availability of the Article","condition","4","","",""
8,"Article Availability is Okay","entity","7","","",""
9,"Send Denial to the Customer","entity","7","","",""
10,"End","end","9","","",""
11,"Check the Availability of the Article again","condition","8","","",""
12,"Article is available","entity","11","","",""
13,"Article is not available","entity","11","","",""
14,"Produce the Goods","entity","13","","",""
15,"Collect the Goods","entity","12","","",""
16,"Send Order Confirmation","entity","14,15","","",""
17,"Ship the Goods","entity","16","","",""
18,"Send the Invoice","entity","16","","",""
19,"Complete shipments and invoices shipping and sending invoice","entity","17,18","","",""
20,"Check the Payment status","condition","19","","",""
21,"Payment received","entity","20","","",""
22,"Close the Order","entity","21","","",""
23,"End","end","22","","",""
24,"Payment not received","entity","20","","",""
25,"Is Reminder count greater than or equal to 3","condition","24","","",""
26,"Reminder count is greater or equal to 3","entity","25","","",""
27,"Write off the Order","entity","26","","",""
28,"Send a Reminder","entity","26","","",""
29,"Close the Order","entity","27,28","","",""
30,"End","end","29","","",""
31,"Reminder count is less than 3","entity","25","","",""
32,"Close the Order","entity","31","","",""
33,"End","end","32","","",""
