## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label,source,base64_image
1,"Begin CAB process by assessing change request","start","","","",""
2,"Assess the change request","entity","1","","",""
3,"Check affected systems for impact on business unit","entity","2","","",""
4,"Determine if change request should be approved in current state","condition","3","","",""
5,"Approve change request","entity","4","","",""
6,"Implement approved change","entity","5","","",""
7,"You have completed this procedure","end","6","","",""
8,"Further evaluate if change is acceptable with more information","condition","4","","",""
9,"Reject change request","entity","8","","",""
10,"Request more information from Change Coordinator","entity","9","","",""
11,"Send email enquiry to Change Coordinator","entity","10","","",""
12,"Update approval register within 3 business days","entity","11","","",""
13,"Forward email enquiry to Change Requester","entity","11","","",""
14,"Check if there are inquiries from CAB","condition","12,13","","",""
15,"No inquiries from CAB","condition","14","","",""
16,"Process concludes after 3 business days","end","15","","",""
17,"There are inquiries from CAB","condition","14","","",""
18,"Expect response from requester within 1 to 3 business days","entity","17","","",""
19,"Response received from requester","condition","18","","",""
20,"Forward response to CAB for evaluation","entity","19","","",""
21,"Make final determination on approval of change request","condition","20","","",""
22,"Approve change request","entity","21","","",""
23,"Implement approved change","entity","22","","",""
24,"You have completed this procedure","end","23","","",""
25,"Reject change request","entity","21","","",""
26,"You have completed this procedure","end","25","","",""
