## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label,source,base64_image
1,"start Rental Items Return Process","start","","","",""
2,"Customer returns items to store","condition","1","Yes","",""
3,"Customer does not return items to store","condition","1","No","",""
4,"Delivery Crew picks up items at event site","condition","3","Yes","",""
5,"Delivery Crew does not pick up items at event site","condition","3","No","",""
6,"Count items and compare to original contract","entity","2,4","","",""
7,"Order is complete and all items returned","condition","6","Yes","",""
8,"Order is incomplete and items are missing","condition","6","Missing items","",""
9,"Order is complete but items are damaged","condition","6","Damaged items","",""
10,"Email customer about damage and additional charges","entity","9","","",""
11,"Temporarily take damaged items out of inventory","entity","9","","",""
12,"Items packed for an existing order","condition","7,8,10","Packed","",""
13,"Items stored for future orders","condition","7,8,10","Stored","",""
14,"Email customer about missing items and replacement charges","entity","8","","",""
15,"Customer returns missing items","condition","14","Yes","",""
16,"Customer does not return missing items","condition","14","No","",""
17,"Items repaired and added into inventory","condition","15,16","Repaired","",""
18,"Items cannot be repaired and are discarded","condition","15,16","Discarded","",""
19,"Email customer with replacement charges","entity","18","","",""
20,"Items packed for existing order after repair or discard","condition","17,19","Packed","",""
21,"Items stored for future orders after repair or discard","condition","17,19","Stored","",""
22,"Email customer with replacement charges at end","entity","20,21","","",""
23,"End process","end","22","","",""
24,"End process","end","5","No items returned or picked up","",""
