## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label,source,base64_image
1,"Begin informal meeting","start","","","",""
2,"Was informal meeting successful","condition","1","","",""
3,"Schedule another meeting","entity","2","","",""
4,"Process ends due to unsuccessful meeting","end","2","","",""
5,"Proceed with web site design","entity","3","","",""
6,"Prepare contents and complete initial draft","entity","3","","",""
7,"Proceed with web site development","entity","5","","",""
8,"Conduct marketing review","entity","6","","",""
9,"Was marketing review successful","condition","8","","",""
10,"Prepare final version","entity","9","","",""
11,"Process ends due to unsuccessful marketing review","end","9","","",""
12,"Was preparation of final version successful","condition","10","","",""
13,"Proceed to building phase","entity","7,12","","",""
14,"Process ends due to unsuccessful website development","end","7","","",""
15,"Process ends due to unsuccessful preparation of final version","end","12","","",""
16,"Conduct review activity after building phase","entity","13","","",""
17,"Final activity approval","entity","16","","",""
18,"Is site approved","condition","17","","",""
19,"Process ends with approved site","end","18","","",""
20,"Proceed with building phase again","entity","18","","",""
21,"Proceed to review activity again","entity","20","","",""
22,"Proceed to final activity approval again","entity","21","","",""
23,"Reevaluate site approval","condition","22","","",""
24,"Process ends with approved site","end","23","","",""
25,"Proceed with building phase again","entity","23","","",""
