## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label,source,base64_image
1,"start TS recruitment","start","","","",""
2,"advise unsuccessful candidates","entity","1","","",""
3,"no more candidates","condition","2","","",""
4,"re advertise position","entity","3","Yes","",""
5,"end","end","4","","",""
6,"sort out terms and conditions for offer","entity","3","No","",""
7,"candidate accepted voluntary redundancy","condition","6","","",""
8,"investigate voluntary redundancy","entity","7","Yes","",""
9,"send Appointment Approval form","entity","7","No","",""
9,"send Appointment Approval form","entity","8","","",""
10,"next level manager receives Appointment Approval form","entity","9","","",""
11,"approver is existing employee","condition","10","","",""
12,"end","end","11","No","",""
13,"form approved","condition","11","Yes","",""
14,"send form and documentation to client HR","entity","13","Yes","",""
15,"end","end","13","No","",""
16,"client HR scans completed form","entity","14","","",""
17,"record position in GovSource","entity","16","","",""
18,"variations present","condition","17","","",""
19,"prepare complete business case","entity","18","Yes","",""
20,"carry forward Appointment Approval","entity","18","No","",""
20,"carry forward Appointment Approval","entity","19","","",""
21,"position requires medical assessment","condition","20","","",""
22,"apply 12% medical assessment rate","entity","21","Yes","",""
23,"no medical assessment necessary","entity","21","No","",""
24,"arrange and complete medical assessment up to 21 days","entity","22","","",""
25,"TS HR coordinator informs recruitment manager","entity","24","","",""
25,"TS HR coordinator informs recruitment manager","entity","23","","",""
26,"recruitment manager liaises with HR representative to confirm offer","entity","25","","",""
27,"assessment satisfactory","condition","26","","",""
28,"contact next candidate on shortlist","entity","27","No","",""
29,"end","end","28","","",""
30,"make formal verbal offer to candidate","entity","27","Yes","",""
31,"candidate accepts verbal offer","condition","30","","",""
32,"create formal written offer","entity","31","Yes","",""
33,"end","end","31","No","",""
34,"send commencement pack to candidate","entity","32","","",""
35,"send letter of appointment to candidate","entity","32","","",""
36,"candidate receives commencement pack and letter","entity","34","","",""
36,"candidate receives commencement pack and letter","entity","35","","",""
37,"40% rate present","condition","36","","",""
38,"renegotiate rate","entity","37","Yes","",""
39,"renegotiation successful","condition","38","","",""
40,"identify next candidate on shortlist","entity","39","No","",""
41,"end","end","40","","",""
42,"end","end","39","Yes","",""
43,"candidate accepts offer when no 40% rate applies","condition","37","No","",""
44,"end","end","43","Yes","",""
45,"identify next candidate on shortlist","entity","43","No","",""
46,"end","end","45","","",""
