file,C1,C1_violating_nodes,C2,C2_violating_nodes,C3,C3_violating_nodes,C4,C4_violating_nodes,C5,C5_violating_nodes,C6,C6_violating_nodes,error
15.txt,True,,True,,True,,True,,True,,True,,
14.txt,True,,True,,True,,False,"77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 422, 423, 424, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 436, 437, 438, 439, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 452, 453, 454, 455, 456, 457, 458, 459, 460, 461, 462, 463, 464, 465, 466, 467, 468, 469, 470, 471, 472, 473, 474, 475, 476, 477, 478, 479, 480, 481, 482, 483",False,"12, 34, 68",False,"220, 270, 351, 55, 60, 451, 288, 435, 487, 271, 401, 369, 323, 249, 477, 356, 153, 385, 281, 284, 97, 213, 134, 302, 68, 237, 420, 216, 171, 49, 137, 63, 61, 315, 86, 373, 305, 165, 489, 402, 70, 112, 103, 370, 403, 230, 453, 458, 264, 98, 383, 386, 135, 147, 168, 322, 285, 53, 421, 440, 282, 366, 180, 170, 131, 72, 426, 196, 300, 217, 476, 254, 307, 434, 115, 290, 71, 166, 287, 85, 298, 256, 349, 164, 319, 231, 66, 251, 389, 357, 69, 149, 316, 358, 154, 409, 120, 350, 306, 111, 64, 117, 50, 419, 198, 355, 179, 73, 375, 283, 81, 136, 488, 485, 248, 151, 183, 304, 232, 341, 185, 51, 289, 353, 114, 492, 266, 148, 468, 119, 460, 77, 338, 100, 236, 96, 65, 80, 54, 372, 491, 169, 78, 186, 163, 423, 200, 233, 238, 152, 335, 95, 219, 406, 273, 76, 384, 408, 469, 79, 129, 336, 84, 459, 367, 205, 333, 214, 352, 425, 442, 239, 268, 471, 317, 390, 253, 368, 475, 407, 62, 187, 113, 199, 48, 83, 234, 222, 417, 57, 101, 457, 404, 265, 340, 56, 247, 132, 128, 437, 443, 146, 255, 339, 181, 400, 436, 215, 130, 318, 197, 470, 59, 334, 162, 455, 474, 102, 203, 418, 441, 250, 145, 324, 321, 221, 272, 424, 374, 267, 493, 332, 494, 472, 391, 182, 202, 74, 52, 94, 486, 438, 454, 188, 75, 299, 67, 387, 392, 204, 58, 118, 301, 452",
16.txt,True,,True,,True,,True,,True,,True,,
17.txt,True,,True,,True,,False,24,True,,True,,
12.txt,True,,True,,True,,True,,True,,True,,
10.txt,True,,True,,True,,False,48,False,"3, 5, 13, 22, 27, 44",True,,
11.txt,True,,True,,True,,True,,True,,True,,
9.txt,True,,True,,True,,True,,True,,True,,
8.txt,False,,True,,True,,True,,False,"3, 12, 8",False,"18, 7, 9, 3, 24, 19, 25, 10, 15, 1, 17, 26, 14, 4, 5, 23, 20, 21, 11, 12, 2, 22, 8, 6, 16",
5.txt,True,,True,,True,,True,,False,"3, 4",True,,
4.txt,True,,True,,True,,False,24,False,"6, 7, 17, 18",True,,
6.txt,True,,True,,True,,True,,False,"4, 5, 16",True,,
7.txt,True,,True,,True,,True,,True,,True,,
3.txt,True,,True,,True,,True,,False,"3, 5",True,,
2.txt,True,,True,,True,,True,,False,14,True,,
1.txt,True,,True,,True,,False,17,False,"3, 6, 7, 18",True,,
20.txt,True,,True,,True,,True,,False,"3, 4, 6, 7, 9, 10, 11, 12, 13, 25, 26, 27, 35, 36, 37",True,,
21.txt,True,,True,,True,,True,,True,,False,"47, 38",
19.txt,True,,True,,True,,True,,False,"5, 6, 7, 8, 9, 10",True,,
18.txt,True,,True,,True,,True,,False,"6, 7, 13, 14, 15",True,,
