## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label,source,base64_image
1,"start process by supplying and documenting requirement","start","","","",""
2,"is the order received via fax","condition","1","","",""
3,"input order into Excel file","entity","2","","",""
4,"is the order received via mail or phone","condition","2","No","",""
5,"input order into Excel file","entity","4","","",""
6,"end process due to unsupported order method","end","4","","",""
7,"complete Excel list after a week and send it to student","entity","3,5","","",""
8,"receive Excel list from student and type orders into MS-Access database","entity","7","","",""
9,"ensure database is completed","entity","8","","",""
10,"control the incoming order and continue to do the check in parallel","entity","9","","",""
11,"is the order correct","condition","10","","",""
12,"release order","entity","11","","",""
13,"send Excel list to student and continue with process","entity","12","","",""
14,"contact selling agency","entity","11","","",""
15,"is order worth less than 5.000 Euro","condition","14","","",""
16,"release order","entity","15","","",""
17,"send order for sign off and continue with check","entity","15","","",""
18,"contact selling agency and receive actual issue","entity","17","","",""
19,"send order for sign off","entity","18","","",""
20,"is order signed off","condition","19","","",""
21,"contact client and release order","entity","20","","",""
22,"order is received by PPC and initiate production","entity","21","","",""
23,"can issue be solved","condition","20","","",""
24,"cancel order","entity","23","","",""
25,"release order","entity","23","","",""
26,"goods will be produced","entity","22","","",""
27,"is order cancelled","condition","24,25,26","","",""
28,"end process","end","27","","",""
29,"check quality of goods","entity","27","","",""
30,"create and send quality report to finance department","entity","29","","",""
31,"release order via memo and ensure memo is achieved in warehouse","entity","30","","",""
32,"send invoice","entity","31","","",""
33,"report achievement to finance department","entity","32","","",""
34,"commission goods","entity","33","","",""
35,"sign and send memo","entity","34","","",""
36,"send goods and ensure signed memo is achieved in logistic department","entity","35","","",""
37,"archive memo and close order","entity","36","","",""
38,"end process","end","37","","",""
