file,C1,C1_violating_nodes,C2,C2_violating_nodes,C3,C3_violating_nodes,C4,C4_violating_nodes,C5,C5_violating_nodes,C6,C6_violating_nodes,error
15.txt,True,,True,,True,,True,,True,,True,,
14.txt,True,,True,,True,,True,,False,"31, 59, 63",True,,
16.txt,True,,True,,True,,True,,False,14,True,,
17.txt,True,,True,,True,,False,21,False,"7, 14, 23, 26",True,,
12.txt,True,,True,,True,,False,"17, 24, 29",False,"8, 9",False,"7, 24, 15, 32, 17, 20, 27, 11, 12, 22, 18, 9, 31, 29, 34, 33, 19, 25, 10, 26, 28, 14, 13, 23, 21, 30, 8, 16",
10.txt,True,,True,,True,,False,41,False,7,True,,
11.txt,True,,True,,True,,True,,False,"3, 4",True,,
9.txt,True,,True,,True,,True,,True,,True,,
8.txt,True,,True,,True,,True,,False,"3, 4",True,,
5.txt,True,,True,,True,,True,,False,5,True,,
4.txt,True,,True,,True,,True,,False,"6, 11, 13, 18, 21, 26, 28",True,,
6.txt,True,,True,,True,,True,,True,,True,,
7.txt,True,,True,,True,,True,,True,,True,,
3.txt,True,,True,,True,,True,,True,,True,,
2.txt,True,,True,,True,,True,,True,,True,,
1.txt,True,,True,,True,,True,,False,"6, 11, 17, 21, 24, 26",False,"10, 8, 9",
20.txt,True,,True,,True,,True,,True,,True,,
21.txt,True,,True,,True,,True,,False,"9, 10, 11, 12",True,,
19.txt,True,,True,,True,,True,,False,"5, 6, 7, 8, 9, 10, 23, 25, 35, 37",True,,
18.txt,True,,True,,True,,True,,False,"3, 4, 6, 7, 13, 14, 15",True,,
