## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label,source,base64_image
1,"Start process","start","","","",""
2,"Item return method decision","condition","1","","",""
3,"Customer returns items to store","entity","2","customer returns items to store","",""
4,"Delivery crew picks up items at event site","entity","2","delivery crew picks up items at event site","",""
5,"Count items and compare to original contract","entity","3,4","","",""
6,"Order status decision","condition","5","","",""
7,"Proceed with process","entity","6","order complete all items returned","",""
8,"Email customer with missing replacement charges","entity","6","order incomplete items missing","",""
9,"Email customer about damage and additional charges","entity","6","order complete items damaged","",""
10,"Missing items return decision","condition","8","","",""
11,"Continue process after missing return","entity","10","customer returns missing items","",""
12,"Continue process without missing items","entity","10","customer does not return missing items","",""
13,"Temporarily take damaged items out of inventory","entity","9","","",""
14,"Damaged items repair decision","condition","13","","",""
15,"Continue process after repair","entity","14","items repaired and added into inventory","",""
16,"Email customer with replacement charges","entity","14","items cannot be repaired and are discarded","",""
17,"Final items handling decision","condition","7","order complete all items returned","",""
17,"Final items handling decision","condition","11","customer returns missing items","",""
17,"Final items handling decision","condition","12","customer does not return missing items","",""
17,"Final items handling decision","condition","15","items repaired and added into inventory","",""
17,"Final items handling decision","condition","16","items cannot be repaired and are discarded","",""
18,"Pack items for existing order","entity","17","items packed for existing order","",""
19,"Store items for future orders","entity","17","items stored for future orders","",""
20,"Email customer with replacement charges","entity","18,19","","",""
21,"Process complete","end","20","","",""
