## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label,source,base64_image
1,"start the CAB change request process","start","","","",""
2,"assess the change request","entity","1","","",""
3,"check the affected systems for any impacts on the business unit","entity","2","","",""
4,"should the change request be approved in its current state","condition","3","","",""
5,"approve the change request","entity","4","Yes","",""
6,"change request approved proceed to implement change","entity","5","","",""
7,"implement the change","entity","6","","",""
8,"end","end","7","","",""
9,"further evaluation needed to determine if change will be acceptable with more information","entity","4","No","",""
10,"is the change request ultimately approved","condition","9","","",""
11,"approve the change request","entity","10","Yes","",""
12,"change request approved proceed to implement change","entity","11","","",""
13,"implement the change","entity","12","","",""
14,"reject the change request","entity","10","No","",""
15,"request more information from the Change Coordinator","entity","14","","",""
16,"send an email enquiry to the Change Coordinator","entity","15","","",""
17,"update the approval register within 3 business days","entity","16","","",""
18,"forward the email enquiry to the Change Requester","entity","16","","",""
19,"are there inquiries or issues from CAB","condition","18","","",""
20,"process concludes after 3 business days","end","17,19","No","",""
21,"response expected from requester within 1-3 business days","entity","19","Yes","",""
22,"response received from requester","entity","21","","",""
23,"forward response to CAB for further evaluation","entity","22","","",""
24,"final determination regarding approval of the change request","condition","23","","",""
25,"approve the change request","entity","24","Approved","",""
26,"change request approved proceed to implement change","entity","25","","",""
27,"implement the change","entity","26","","",""
28,"end","end","27","","",""
29,"reject the change request","entity","24","Rejected","",""
30,"end","end","29","","",""
