## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label,source,base64_image
1,"start ACME resupply process","start","","","",""
2,"start New Resupply Cycle","entity","1","","",""
3,"Check Levels of Inventory","entity","2","","",""
4,"is inventory below or equal to minimum","condition","3","","",""
5,"generate Equal to or below minimum Report","entity","4","Yes","",""
6,"generate Above Minimum Report","entity","4","No","",""
7,"does report indicate inventory equal to or below minimum","condition","5","Yes","",""
8,"does report indicate inventory above minimum","condition","6","No","",""
9,"create Purchase Orders POs","entity","7","Yes","",""
10,"end process because inventory above minimum","end","8","Yes","",""
11,"review PO creation needed","condition","9","","",""
12,"rework PO","entity","11","No","",""
13,"PO approved","condition","11","Yes","",""
14,"print and release PO in system","entity","13","Yes","",""
15,"PO rejected and needs rework","condition","13","No","",""
16,"rework PO creation needed","entity","15","","",""
17,"reserve funds for released POs","entity","14","","",""
18,"mail POs to supplier","entity","14","","",""
19,"receive Packing Slip","entity","17","Yes","",""
20,"receive inventory","entity","18","Yes","",""
21,"proceed to receive Invoice","entity","19","","",""
22,"proceed to receive Packing Slip after inventory","entity","20","","",""
23,"receive Invoice","entity","21","","",""
24,"perform Three-way match","entity","23","","",""
25,"is Three-way match successful","condition","24","","",""
26,"release funds","entity","25","Yes","",""
27,"issue payment","entity","26","","",""
28,"Resupply Cycle complete end process","end","27","","",""
29,"rework PO needed create again","entity","12","","",""
30,"rework PO needed create again","entity","16","","",""
31,"all parallel tasks complete after printing and releasing PO","entity","17,18","","",""
32,"PO creation review after rework","condition","29","","",""
33,"PO creation review after rework","condition","30","","",""
34,"merge PO creation review nodes after rework","entity","32,33","","",""
35,"PO approved after rework","condition","34","Yes","",""
36,"PO rejected and needs rework again","condition","34","No","",""
37,"print and release PO in system after rework","entity","35","","",""
38,"PO rejected and needs rework again","entity","36","","",""
39,"reserve funds for released POs after rework","entity","37","","",""
40,"mail POs to supplier after rework","entity","37","","",""
41,"receive Packing Slip after rework","entity","39","Yes","",""
42,"receive inventory after rework","entity","40","Yes","",""
43,"proceed to receive Invoice after rework","entity","41","","",""
44,"proceed to receive Packing Slip after inventory rework","entity","42","","",""
45,"receive Invoice after rework","entity","43","","",""
46,"perform Three-way match after rework","entity","45","","",""
47,"is Three-way match successful after rework","condition","46","","",""
48,"release funds after rework","entity","47","Yes","",""
49,"issue payment after rework","entity","48","","",""
50,"Resupply Cycle complete end process after rework","end","49","","",""
51,"rework PO needed create again after rework rejected","entity","38","","",""
52,"PO creation review after second rework","condition","51","","",""
53,"PO approval after second rework","condition","52","Yes","",""
54,"PO rejection after second rework","condition","52","No","",""
55,"print and release PO after second rework","entity","53","","",""
56,"rework PO needed again after second rejection","entity","54","","",""
57,"reserve funds for released POs after second rework","entity","55","","",""
58,"mail POs to supplier after second rework","entity","55","","",""
59,"receive Packing Slip after second rework","entity","57","Yes","",""
60,"receive inventory after second rework","entity","58","Yes","",""
61,"proceed to receive Invoice after second rework","entity","59","","",""
62,"proceed to receive Packing Slip after inventory second rework","entity","60","","",""
63,"receive Invoice after second rework","entity","61","","",""
64,"perform Three-way match after second rework","entity","63","","",""
65,"is Three-way match successful after second rework","condition","64","","",""
66,"release funds after second rework","entity","65","Yes","",""
67,"issue payment after second rework","entity","66","","",""
68,"Resupply Cycle complete end process after second rework","end","67","","",""
69,"rework PO needed create again second time","entity","56","","",""
70,"PO creation review after third rework","condition","69","","",""
71,"PO approval after third rework","condition","70","Yes","",""
72,"PO rejection after third rework","condition","70","No","",""
73,"print and release PO after third rework","entity","71","","",""
74,"rework PO needed again after third rejection","entity","72","","",""
75,"reserve funds for released POs after third rework","entity","73","","",""
76,"mail POs to supplier after third rework","entity","73","","",""
77,"receive Packing Slip after third rework","entity","75","Yes","",""
78,"receive inventory after third rework","entity","76","Yes","",""
79,"proceed to receive Invoice after third rework","entity","77","","",""
80,"proceed to receive Packing Slip after inventory third rework","entity","78","","",""
81,"receive Invoice after third rework","entity","79","","",""
82,"perform Three-way match after third rework","entity","81","","",""
83,"is Three-way match successful after third rework","condition","82","","",""
84,"release funds after third rework","entity","83","Yes","",""
85,"issue payment after third rework","entity","84","","",""
86,"Resupply Cycle complete end process after third rework","end","85","","",""
87,"rework PO needed create again third time","entity","74","","",""
88,"PO creation review after fourth rework","condition","87","","",""
89,"PO approval after fourth rework","condition","88","Yes","",""
90,"PO rejection after fourth rework","condition","88","No","",""
91,"print and release PO after fourth rework","entity","89","","",""
92,"rework PO needed again after fourth rejection","entity","90","","",""
93,"reserve funds for released POs after fourth rework","entity","91","","",""
94,"mail POs to supplier after fourth rework","entity","91","","",""
95,"receive Packing Slip after fourth rework","entity","93","Yes","",""
96,"receive inventory after fourth rework","entity","94","Yes","",""
97,"proceed to receive Invoice after fourth rework","entity","95","","",""
98,"proceed to receive Packing Slip after inventory fourth rework","entity","96","","",""
99,"receive Invoice after fourth rework","entity","97","","",""
100,"perform Three-way match after fourth rework","entity","99","","",""
101,"is Three-way match successful after fourth rework","condition","100","","",""
102,"release funds after fourth rework","entity","101","Yes","",""
103,"issue payment after fourth rework","entity","102","","",""
104,"Resupply Cycle complete end process after fourth rework","end","103","","",""
105,"rework PO needed create again fourth time","entity","92","","",""
106,"end processing due to repeated rework","end","105","No further steps specified","",""
