## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label,source,base64_image
1,"start","start","","","",""
2,"advise unsuccessful candidates","entity","1","","",""
3,"are there more candidates?","condition","2","","",""
4,"re-advertise position","entity","3","","",""
5,"check if terms and conditions need to be sorted out","condition","3","","",""
6,"has candidate accepted voluntary redundancy?","condition","5","","",""
7,"continue process","entity","6","","",""
8,"investigate further","entity","6","","",""
9,"send Appointment Approval form to next level manager","entity","7,8","","",""
10,"is the approver an external resource?","condition","9","","",""
11,"continue process","entity","10","","",""
12,"do not authorize form","entity","10","","",""
13,"send form and documentation to client HR","entity","11,12","","",""
14,"scan and record position in GovSource","entity","13","","",""
15,"are there any variations?","condition","14","","",""
16,"create complete business case","entity","15","","",""
17,"carry forward Appointment Approval","entity","15","","",""
18,"does position require medical assessment?","condition","17","","",""
19,"continue process","entity","18","","",""
20,"arrange and complete medical assessment (up to 21 days)","entity","18","","",""
21,"inform recruitment manager and confirm offer","entity","20","","",""
22,"is assessment satisfactory?","condition","21","","",""
23,"contact next candidate on shortlist","entity","22","","",""
24,"make formal verbal offer to candidate","entity","22","","",""
25,"does candidate accept offer?","condition","24","","",""
26,"create formal written offer","entity","25","","",""
27,"continue process","entity","25","","",""
28,"send commencement pack and letter of appointment","entity","26,27","","",""
29,"does candidate accept?","condition","28","","",""
30,"renegotiate terms (if 40% rate)","condition","29","","",""
31,"continue process","entity","30","","",""
32,"identify next candidate on shortlist","entity","30","","",""
33,"end of procedure","end","27,31,32","","",""
