## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label,source,base64_image
1,"Start Talent Seek process","start","","","",""
2,"Does applicant wish to discuss terms and conditions","condition","1","","",""
3,"Discuss terms and conditions with applicant","entity","2","","",""
4,"Continue with the process","entity","2","","",""
5,"Does applicant want to modify terms and conditions","condition","3,4","","",""
6,"Is change within client limits","condition","5","","",""
7,"Relay applicant's changes","entity","5","","",""
8,"Relay applicant's changes","entity","6","","",""
9,"Continue with the process","entity","6","","",""
10,"Continue with the process","entity","7,8","","",""
11,"Seek approval for the offer","entity","9,10","","",""
12,"Modify the terms and conditions","entity","11","","",""
13,"Send appointment approval and mandatory documentation to HR Services","entity","12","","",""
14,"Scan and upload completed approval form to Cloud Source","entity","13","","",""
15,"Make a formal offer","entity","14","","",""
16,"Are changes acceptable","condition","15","","",""
17,"Continue with the process","entity","16","","",""
18,"Select new applicant from list","entity","16","","",""
19,"Does client accept changes","condition","17","","",""
20,"End","end","19","","",""
21,"Select new candidate from list","entity","19","","",""
22,"Does client accept changes","condition","21","","",""
23,"End","end","22","","",""
24,"Select new candidate from list","entity","22","","",""
