file,C1,C1_violating_nodes,C2,C2_violating_nodes,C3,C3_violating_nodes,C4,C4_violating_nodes,C5,C5_violating_nodes,C6,C6_violating_nodes,error
15.txt,True,,True,,True,,True,,True,,True,,
14.txt,True,,True,,True,,True,,False,"11, 29, 34, 57",True,,
16.txt,True,,True,,True,,True,,True,,True,,
17.txt,True,,True,,True,,True,,False,"7, 10",True,,
12.txt,True,,True,,True,,True,,False,19,True,,
10.txt,True,,True,,True,,False,49,False,32,True,,
11.txt,True,,True,,True,,True,,True,,True,,
9.txt,True,,True,,True,,True,,True,,True,,
8.txt,True,,True,,True,,True,,False,"14, 19",True,,
5.txt,True,,True,,True,,True,,False,"3, 4",True,,
4.txt,True,,True,,True,,True,,False,"6, 7, 18, 19",True,,
6.txt,True,,True,,True,,True,,True,,True,,
7.txt,True,,True,,True,,True,,True,,True,,
3.txt,True,,True,,True,,True,,True,,True,,
2.txt,False,,True,,True,,True,,True,,False,"14, 4, 5, 7, 9, 13, 3, 10, 11, 12, 2, 8, 1, 6, 15",
1.txt,True,,True,,True,,True,,False,"3, 5",False,"14, 13, 7, 18, 9, 11, 12, 8, 10, 6, 15, 17, 16",
20.txt,True,,True,,True,,True,,False,"3, 4, 7, 8, 24",True,,
21.txt,True,,True,,True,,True,,False,"27, 31, 42, 46, 50",False,53,
19.txt,True,,True,,True,,True,,False,37,True,,
18.txt,True,,True,,True,,True,,True,,True,,
