## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label,source,base64_image
1,"start","start","","","",""
2,"initiate gross pathology request","entity","1","Gross pathology request arrived","",""
3,"register gross pathology request","entity","2","Registration initiated","",""
4,"create barcode scan at start of registration","entity","3","Barcode scan created","",""
5,"assign container to gross pathology request","entity","4","Container assigned","",""
6,"specimen description - scan start","entity","5","Scan started","",""
7,"specimen description - scan end","entity","6","Scan ended","",""
8,"registration continued - scan start","entity","7","Registration scan started","",""
9,"macroscopic description writing","entity","8","Description started","",""
10,"tissue processing","entity","8","Processing initiated","",""
11,"check if digitalization required?","condition","9,10","Digitalization check","",""
12,"digitalization (if applicable)","entity","11","Digitalization needed","",""
13,"continue without digitalization","entity","11","No digitalization needed","",""
14,"assign cases to pathologist","entity","12,13","Cases assigned","",""
15,"microscopic examination and diagnosis","entity","14","Examination started","",""
16,"write pathology report","entity","15","Report writing","",""
17,"confirm pathology report","entity","16","Report confirmed","",""
18,"deliver pathology report","entity","17","Report delivered","",""
19,"post-report processing","entity","18","Post-processing","",""
20,"close procedure","entity","19","Procedure closed","",""
21,"end","end","20","Process completed","",""
