file,C1,C1_violating_nodes,C2,C2_violating_nodes,C3,C3_violating_nodes,C4,C4_violating_nodes,C5,C5_violating_nodes,C6,C6_violating_nodes,error
15.txt,True,,True,,True,,True,,True,,True,,
14.txt,True,,True,,True,,True,,True,,False,"42, 7, 3, 55, 60, 77, 65, 20, 54, 37, 40, 78, 27, 47, 11, 36, 68, 35, 18, 49, 9, 61, 63, 31, 58, 76, 34, 79, 33, 70, 19, 28, 26, 10, 14, 44, 13, 5, 21, 30, 53, 8, 32, 16, 45, 72, 62, 48, 24, 57, 39, 15, 17, 56, 71, 66, 46, 22, 59, 12, 69, 41, 64, 50, 29, 38, 73, 25, 4, 23, 74, 52, 75, 67, 43, 6, 51",
16.txt,True,,True,,True,,True,,True,,True,,
17.txt,True,,True,,True,,True,,True,,True,,
12.txt,True,,True,,True,,True,,False,"10, 11, 21",False,"24, 15, 17, 20, 27, 11, 12, 22, 18, 9, 31, 29, 19, 28, 26, 10, 25, 14, 13, 23, 21, 30, 32, 16",
10.txt,True,,True,,True,,True,,False,"12, 23, 34, 39, 43, 48",True,,
11.txt,True,,True,,True,,True,,True,,True,,
9.txt,True,,True,,True,,True,,True,,True,,
8.txt,True,,True,,True,,True,,False,18,True,,
5.txt,True,,True,,True,,True,,True,,True,,
4.txt,True,,True,,True,,True,,False,"6, 13, 17, 20",True,,
6.txt,True,,True,,True,,True,,True,,True,,
7.txt,True,,True,,True,,True,,True,,False,"24, 15, 17, 20, 27, 11, 12, 22, 18, 29, 19, 28, 26, 25, 14, 13, 23, 21, 30, 16",
3.txt,True,,True,,True,,True,,True,,True,,
2.txt,True,,True,,True,,True,,False,14,True,,
1.txt,True,,True,,True,,True,,False,3,True,,
20.txt,True,,True,,True,,True,,True,,True,,
21.txt,True,,True,,True,,True,,False,"8, 9, 10, 11",True,,
19.txt,True,,True,,True,,True,,True,,True,,
18.txt,True,,True,,True,,True,,False,"5, 6, 11, 12, 13",True,,
