## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=50;spacingLeft=50;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label
1,"Start the procedure","start","",""
2,"Determine whether a data backup is required by checking the date and time of the last backup","entity","1",""
3,"Refer to [DOCUMENT_A]","entity","2",""
4,"Verify the current alarm conditions on the network element","entity","2",""
5,"Verify that the replacement [COMPONENT_ID] is the same as the current [COMPONENT_ID]","entity","4",""
6,"Switch traffic away from this optical link by performing [PROCEDURE]","entity","5",""
7,"Refer to [DOCUMENT_B]","entity","6",""
8,"Ensure that the [INDICATOR_LED] on the module faceplate is off","entity","6",""
9,"Refer to [DATA_SOURCE_A]","entity","8",""
10,"Refer to [DATA_SOURCE_B]","entity","8",""
11,"Refer to [DATA_SOURCE_C]","entity","8",""
12,"Ensure that labels are applied to both ends of all cables and patchcords","entity","8",""
13,"Disconnect all [TYPE] connectors from the module to be replaced","entity","12",""
14,"Put protective caps on the ends of the patchcords","entity","13",""
15,"Push outwards on both pull tabs simultaneously and pull the module out of the slot","entity","14",""
16,"Gently pull the module until it is fully removed","entity","15",""
17,"Install the replacement module into the corresponding slot and press the latches to close","entity","16",""
18,"Refer to [DOCUMENT_C]","entity","17",""
19,"You can retrieve the inventory data for the module you inserted","entity","17",""
20,"What interface are you using?","condition","19",""
21,"Enter [COMMAND] to show slot inventory details","entity","20","[Use Command Line Interface]"
22,"Clean all disconnected fiber connectors and reconnect them to the appropriate ports on the module","entity","21",""
23,"For instructions on inspecting and cleaning optical fiber, refer to [DOCUMENT_D]","entity","22",""
24,"From the [MENU_A], select the module you want to retrieve the inventory for","entity","20","[Use Graphical User Interface]"
22,"Clean all disconnected fiber connectors and reconnect them to the appropriate ports on the module","entity","24",""
25,"Wait for the module to start","entity","22",""
26,"Which interface will be used to retrieve the active alarms and alarm details?","condition","25",""
27,"Enter [COMMAND] to show active alarms","entity","26","[Use Command Line Interface]"
28,"Is the '[ALARM_A]' alarm active?","condition","27",""
29,"Wait until the alarm clears before continuing","entity","28","[Alarm is active]"
30,"Is the '[ALARM_B]' alarm active?","condition","28","[Alarm is not active]"
30,"Is the '[ALARM_B]' alarm active?","condition","29",""
37,"A problem with provisioning the module has been detected","entity","30","[Mismatch alarm is active]"
31,"Undo any traffic switches invoked","entity","37",""
31,"Undo any traffic switches invoked","entity","30","[Mismatch alarm is not active]"
32,"Update the user label with the current shelf and slot","entity","31",""
33,"Ensure there are no active alarms against the newly installed module(s)","entity","32",""
35,"Retrieve the data for the active alarm object refer to [DOCUMENT_E]","entity","26","[Use Graphical User Interface]"
28,"Is the '[ALARM_A]' alarm active?","condition","35",""
36,"You have completed this procedure","end","33",""
