## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label
sid-6875398C-AE18-4B55-BBE1-0901C84AAF89,start,start,,
sid-ADD36EE4-803B-4FDE-A871-F6FD0C75DEA1,choose destination,entity,sid-6875398C-AE18-4B55-BBE1-0901C84AAF89,
sid-0F1B6B83-AF6B-47F8-9A4B-2BCD8EBD0605,calc. distance,entity,sid-ADD36EE4-803B-4FDE-A871-F6FD0C75DEA1,
sid-20F2E7C1-60BE-4448-96E6-CAC7F2F6B39C,book train,entity,sid-3A009688-3A2E-43AE-BD02-A6DD5EAD4EE8,no
sid-CF54814D-94FB-4093-AF4A-B282F36A1030,book flight,entity,sid-3A009688-3A2E-43AE-BD02-A6DD5EAD4EE8,yes
sid-18C88254-E83D-436E-9B3C-566FB7A3AA35,end,end,sid-BB7A83B9-9EFD-4649-9FDE-47412A9F134B,code available (within 24h)
sid-A25102F8-2862-4948-83BC-CB9E36D7AFE2,call travel agency,entity,sid-BB7A83B9-9EFD-4649-9FDE-47412A9F134B,24h passed
sid-F484A3C5-D9D3-43AB-9C33-2BD501BB04B2,condition,condition,sid-A25102F8-2862-4948-83BC-CB9E36D7AFE2,
sid-C6049E56-E770-40F4-BF11-D7E31C554E54,end,end,sid-F484A3C5-D9D3-43AB-9C33-2BD501BB04B2,code available
sid-91A59561-A8D8-49FC-A932-342BBCA935A2,cancel journey,entity,sid-F484A3C5-D9D3-43AB-9C33-2BD501BB04B2,code not available
sid-C6049E56-E770-40F4-BF11-D7E31C554E54,end,end,sid-91A59561-A8D8-49FC-A932-342BBCA935A2,
sid-3A009688-3A2E-43AE-BD02-A6DD5EAD4EE8,condition,condition,sid-0F1B6B83-AF6B-47F8-9A4B-2BCD8EBD0605,dist. > 500
sid-C838E7BC-C9EC-45F2-A296-49C459D4D64D,hotel reservation,entity,sid-0F1B6B83-AF6B-47F8-9A4B-2BCD8EBD0605,
sid-BB7A83B9-9EFD-4649-9FDE-47412A9F134B,condition,condition,sid-C838E7BC-C9EC-45F2-A296-49C459D4D64D,
sid-BB7A83B9-9EFD-4649-9FDE-47412A9F134B,condition,condition,sid-20F2E7C1-60BE-4448-96E6-CAC7F2F6B39C,
sid-BB7A83B9-9EFD-4649-9FDE-47412A9F134B,condition,condition,sid-CF54814D-94FB-4093-AF4A-B282F36A1030,
