## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label
sid-4A83E38C-FD0B-41A5-B126-3259264F5C83,Customer has to make a purchase,start,,
sid-889423AD-3284-4482-8FCA-47E9C6734EFD,Connect to website,entity,sid-4A83E38C-FD0B-41A5-B126-3259264F5C83,
sid-10FF886D-B033-41FA-8E78-1EA80B1C071E,condition,condition,sid-8A905566-C6BB-42B8-AC82-AD865F8B99FE,
sid-6B61A2F6-FA57-4929-B06C-5B3275F6EAE0,Proceed to Checkout,entity,sid-10FF886D-B033-41FA-8E78-1EA80B1C071E,Add item to cart
sid-A690C95A-EBA5-4715-9993-DAFFE86868CB,"Enter address, shipping method and payment information",entity,sid-6B61A2F6-FA57-4929-B06C-5B3275F6EAE0,
sid-EFD6FEF7-F691-4C31-95CE-7719074BFE51,condition,condition,sid-AE389CE2-0564-470C-B8B3-D91780C3B6D0,
sid-B32BCFD7-7CE0-462E-80C8-FBB4F07478E5,condition,condition,sid-45B7C0B7-3704-49B9-837E-2079F3F684F8,
sid-C62F8259-DFE1-42C0-B2C8-4775B0EF4B11,End of Transaction,end,sid-EFD6FEF7-F691-4C31-95CE-7719074BFE51,Denial of Credit Card
sid-42810F50-8D97-4FF6-8B4A-583E1592BBDA,End of Transaction,end,sid-B32BCFD7-7CE0-462E-80C8-FBB4F07478E5,Dont Have Inventory In Stock
sid-CC70C2C8-1804-4C0E-B3F4-2C761CF0A42A,Confirm Order,entity,sid-36482599-CF7E-4300-961B-BC03F65CBC3B,
sid-36482599-CF7E-4300-961B-BC03F65CBC3B,Display Final Order to the Customer,entity,sid-EFD6FEF7-F691-4C31-95CE-7719074BFE51,Approval of Credit Card
sid-36482599-CF7E-4300-961B-BC03F65CBC3B,Display Final Order to the Customer,entity,sid-B32BCFD7-7CE0-462E-80C8-FBB4F07478E5,Have Inventory In Stock
sid-F4D67D6A-CDBC-4A48-BDBE-1F033FD00ABC,Order Entry is Complete,end,sid-64DA2997-1E6B-46BB-AC33-55DFCF799341,
sid-F4D67D6A-CDBC-4A48-BDBE-1F033FD00ABC,Order Entry is Complete,end,sid-15F19FCC-51FC-40F6-8CD0-1003D24782B3,
sid-8A905566-C6BB-42B8-AC82-AD865F8B99FE,Search for an item,entity,sid-889423AD-3284-4482-8FCA-47E9C6734EFD,
sid-8A905566-C6BB-42B8-AC82-AD865F8B99FE,Search for an item,entity,sid-10FF886D-B033-41FA-8E78-1EA80B1C071E,Continue Shopping
sid-AE389CE2-0564-470C-B8B3-D91780C3B6D0,Authorize Credit Card,entity,sid-A690C95A-EBA5-4715-9993-DAFFE86868CB,
sid-45B7C0B7-3704-49B9-837E-2079F3F684F8,Check Inventory Levels,entity,sid-A690C95A-EBA5-4715-9993-DAFFE86868CB,
sid-64DA2997-1E6B-46BB-AC33-55DFCF799341,Display Order Confirmation Number,entity,sid-CC70C2C8-1804-4C0E-B3F4-2C761CF0A42A,
sid-15F19FCC-51FC-40F6-8CD0-1003D24782B3,Email the Confirmation Notice to Customer,entity,sid-CC70C2C8-1804-4C0E-B3F4-2C761CF0A42A,
