## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label
sid-3FC3D67A-1E5E-4B8D-9D90-0496DE684A63,Loan Application,start,,
sid-913E54B8-4391-4179-8389-7E0E3A77DAAF,Receive Loan Application,entity,sid-3FC3D67A-1E5E-4B8D-9D90-0496DE684A63,
sid-CFB7A57B-A6F5-41A1-95C3-546565ED2905,Check Banking Privilege Status,entity,sid-913E54B8-4391-4179-8389-7E0E3A77DAAF,
sid-77932ED6-E093-4294-9640-90454099081F,condition,condition,sid-CFB7A57B-A6F5-41A1-95C3-546565ED2905,
sid-5D169191-6637-407C-BE1E-2AEAF947AF6C,Error Message,end,sid-77932ED6-E093-4294-9640-90454099081F,Construct Error Response
sid-E50A39F7-D950-4757-88D8-5C01A9B6614C,Check fulfilment of loan conditions,entity,sid-77932ED6-E093-4294-9640-90454099081F,Retrieve Customer Information
sid-B999687C-B7FF-4888-A5BB-4DBD14446B4B,condition,condition,sid-E50A39F7-D950-4757-88D8-5C01A9B6614C,
sid-5D169191-6637-407C-BE1E-2AEAF947AF6C,Error Message,end,sid-B999687C-B7FF-4888-A5BB-4DBD14446B4B,Construct Error Response
sid-2CC407E3-5B23-45D3-AC40-7EFB7D9C143A,condition,condition,sid-B999687C-B7FF-4888-A5BB-4DBD14446B4B,Calculate threshold amount
sid-E6129252-68F8-4038-BC8F-59E0EEA5AA64,Designate Status,entity,sid-2CC407E3-5B23-45D3-AC40-7EFB7D9C143A,Check Creditworthiness
sid-F1ED7C7F-9946-4C10-A85E-FFDAD3AC3436,Designate Status,entity,sid-2CC407E3-5B23-45D3-AC40-7EFB7D9C143A,Check Creditworthiness
sid-F89E9C35-5A0D-445D-B96E-2EE12C614027,Initialize Loan Form,entity,sid-E6129252-68F8-4038-BC8F-59E0EEA5AA64,
sid-32655E24-C581-482B-9107-A54644771A8E,Initialize Loan Form,entity,sid-F1ED7C7F-9946-4C10-A85E-FFDAD3AC3436,
sid-908F3014-C070-483D-940F-393899512909,condition,condition,sid-F89E9C35-5A0D-445D-B96E-2EE12C614027,
sid-EA3E76A0-EEC4-449D-93D8-2BF8917CB1D7,condition,condition,sid-32655E24-C581-482B-9107-A54644771A8E,
sid-9D7565F2-00C8-4D0C-BA6F-89A2429CD987,Approved Message,end,sid-908F3014-C070-483D-940F-393899512909,Construct Approve Response
sid-BB7D6E77-C15C-4597-AB99-22F282754FEC,Reject Message,end,sid-908F3014-C070-483D-940F-393899512909,Construct Reject Response
sid-9D7565F2-00C8-4D0C-BA6F-89A2429CD987,Approved Message,end,sid-EA3E76A0-EEC4-449D-93D8-2BF8917CB1D7,Construct Approve Response
sid-BB7D6E77-C15C-4597-AB99-22F282754FEC,Reject Message,end,sid-EA3E76A0-EEC4-449D-93D8-2BF8917CB1D7,Construct Reject Response
