## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label
sid-BF362107-F0FD-489C-8306-E617CF7B7110,enter the italian restaurant,start,,
sid-40D02F08-31B4-4A99-8660-D623EB44E3D6,aks for the card,entity,sid-BF362107-F0FD-489C-8306-E617CF7B7110,
sid-42BD7CDE-7F6E-4936-B718-CC97AC92C6C5,check the offer,entity,sid-40D02F08-31B4-4A99-8660-D623EB44E3D6,
sid-83681B71-C641-41F8-AA55-4E98170472FF,get the order,entity,sid-24FEB480-03BD-4B9C-B059-67503137866E,
sid-9037A978-64AB-4599-BB09-226C5AFF51DA,eat the salad / drink the wine,entity,sid-83681B71-C641-41F8-AA55-4E98170472FF,
sid-46F492EC-6E20-4D03-BDD5-A6C8A7F9061A,be asked for an desert,entity,sid-9037A978-64AB-4599-BB09-226C5AFF51DA,
sid-1AD57001-17C6-4406-96C7-60B0D19E2F97,condition,condition,sid-46F492EC-6E20-4D03-BDD5-A6C8A7F9061A,
sid-3E9BF49A-4269-499B-9706-74D26767B093,order a tiramisu,entity,sid-1AD57001-17C6-4406-96C7-60B0D19E2F97,tiramisu yes?
sid-7F2FEFB9-3355-4CE9-AE60-685DE828BE58,order no desert,entity,sid-1AD57001-17C6-4406-96C7-60B0D19E2F97,tiramisu no?
sid-C37AC058-96BA-430B-A3BD-F52BC4CA48EB,wait for the tiramisu,entity,sid-3E9BF49A-4269-499B-9706-74D26767B093,
sid-560D1F1F-AA3F-4766-997C-C6B09B9BEACD,get the tiramisu,entity,sid-C37AC058-96BA-430B-A3BD-F52BC4CA48EB,
sid-3950E1BB-D2D6-4F1C-8408-EEA8E3D58D1B,eat the tiramisu,entity,sid-560D1F1F-AA3F-4766-997C-C6B09B9BEACD,
sid-69A4EB67-E15A-4E4F-9D0C-757416EC4411,pay the bill,entity,sid-CB78A554-F77E-414B-998C-59B9F77CBCA8,
sid-C92472D9-57AB-46BB-8D05-650F89B1D9CA,leave the restaurant,end,sid-69A4EB67-E15A-4E4F-9D0C-757416EC4411,
sid-CB78A554-F77E-414B-998C-59B9F77CBCA8,ask for the bill,entity,sid-7F2FEFB9-3355-4CE9-AE60-685DE828BE58,
sid-CB78A554-F77E-414B-998C-59B9F77CBCA8,ask for the bill,entity,sid-3950E1BB-D2D6-4F1C-8408-EEA8E3D58D1B,
sid-A69D70B2-EE8F-482B-B33B-82159B0D6557,order a glass of red wine,entity,sid-42BD7CDE-7F6E-4936-B718-CC97AC92C6C5,
sid-9A4680C7-D5B7-4CD9-8163-EC68B9468235,order a salad,entity,sid-42BD7CDE-7F6E-4936-B718-CC97AC92C6C5,
sid-24FEB480-03BD-4B9C-B059-67503137866E,wait for the order,entity,sid-A69D70B2-EE8F-482B-B33B-82159B0D6557,
sid-24FEB480-03BD-4B9C-B059-67503137866E,wait for the order,entity,sid-9A4680C7-D5B7-4CD9-8163-EC68B9468235,
