## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label
sid-57CA39E8-F82C-4AF9-8C15-39DE37FAE498,Enter Mango,start,,
sid-CB02A84B-AE37-4E3F-8524-D8851B3CEBB8,check the clothes,entity,sid-57CA39E8-F82C-4AF9-8C15-39DE37FAE498,
sid-CC99307F-FDBF-45F4-8336-62DC9DA7D429,condition,condition,sid-CB02A84B-AE37-4E3F-8524-D8851B3CEBB8,
sid-F7B1C09B-840B-4FAB-BFB4-E71B661B3355,try skirt on,entity,sid-CC99307F-FDBF-45F4-8336-62DC9DA7D429,pick a skirt
sid-A5F8B7E4-7196-4D78-827C-F492151C5268,try dress on,entity,sid-CC99307F-FDBF-45F4-8336-62DC9DA7D429,pick a dress
sid-E2DD2C8D-DA25-48B8-9F1E-5333C9D70876,fits?,condition,sid-F7B1C09B-840B-4FAB-BFB4-E71B661B3355,
sid-BDBE4349-3372-4AA5-8737-700929B036F2,fits?,condition,sid-A5F8B7E4-7196-4D78-827C-F492151C5268,
sid-B9487576-DADB-4D94-938F-F9C1B8A0610D,pick another skirt,entity,sid-E2DD2C8D-DA25-48B8-9F1E-5333C9D70876,No
sid-E25AA1A4-BF56-451B-A26E-6FC840602BE7,pick another one,entity,sid-BDBE4349-3372-4AA5-8737-700929B036F2,No
sid-F7B1C09B-840B-4FAB-BFB4-E71B661B3355,try skirt on,entity,sid-B9487576-DADB-4D94-938F-F9C1B8A0610D,
sid-A5F8B7E4-7196-4D78-827C-F492151C5268,try dress on,entity,sid-E25AA1A4-BF56-451B-A26E-6FC840602BE7,
sid-86E82653-B49F-4987-A4BE-3CF13D6BB149,enough for dress?,condition,sid-3B58B29A-C308-4DD3-BE3F-231F23EA1B75,
sid-C6EF4834-0384-4E2F-BA30-8274D69CE1F9,take the dress,entity,sid-86E82653-B49F-4987-A4BE-3CF13D6BB149,yes
sid-A37A8110-3E64-4B55-9665-5094FD25EF3C,take the skirt,entity,sid-86E82653-B49F-4987-A4BE-3CF13D6BB149,no
sid-A3996102-E65C-4BBE-9555-2D578395816B,leave Mango,end,sid-1ED3170A-53CF-4748-A330-79E264C29C83,
sid-1ED3170A-53CF-4748-A330-79E264C29C83,pay item,entity,sid-C6EF4834-0384-4E2F-BA30-8274D69CE1F9,
sid-1ED3170A-53CF-4748-A330-79E264C29C83,pay item,entity,sid-A37A8110-3E64-4B55-9665-5094FD25EF3C,
sid-3B58B29A-C308-4DD3-BE3F-231F23EA1B75,check money,entity,sid-E2DD2C8D-DA25-48B8-9F1E-5333C9D70876,yes
sid-3B58B29A-C308-4DD3-BE3F-231F23EA1B75,check money,entity,sid-BDBE4349-3372-4AA5-8737-700929B036F2,yes
