## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label,source,base64_image
1,"Start ExpenseReport process","start","","","",""
2,"Click Start","entity","1","","",""
3,"Select Edit Report","entity","2","","",""
4,"Is expense greater than 1000","condition","3","","",""
5,"Review the report","entity","4","","",""
6,"Is translation needed","condition","4","","",""
7,"Translate the receipts","entity","6","","",""
8,"Confirm the receipts","entity","6","","",""
9,"Evaluate review decision","condition","5,7,8","","",""
10,"Report rejected edit the report","entity","9","","",""
11,"Report approved check need for translation","condition","9","","",""
12,"No translation needed proceed","entity","11","","",""
13,"Is translation needed again","condition","11","No","",""
14,"Edit the report","entity","12,13","","",""
15,"Translate the receipts and confirm","entity","13","","",""
16,"Evaluate receipts decision","condition","15","","",""
17,"If receipts accepted process expense","entity","16","","",""
18,"If receipts rejected edit report","entity","16","","",""
19,"Process the expense","entity","17","","",""
20,"End process","end","19","","",""
21,"Edit the report after reject","entity","10,14,18","","",""
22,"Return to review after edit","entity","21","","",""
23,"Is expense greater than 1000","condition","22","No","",""
24,"Review the report","entity","23","","",""
25,"Is translation needed","condition","23","","",""
26,"Translate the receipts","entity","25","","",""
27,"Confirm the receipts","entity","25","","",""
28,"Evaluate review decision","condition","24,26,27","","",""
29,"Report rejected edit the report","entity","28","","",""
30,"Report approved check need for translation","condition","28","","",""
31,"No translation needed proceed","entity","30","","",""
32,"Is translation needed again","condition","30","No","",""
33,"Edit the report","entity","31,32","","",""
34,"Translate the receipts and confirm","entity","32","","",""
35,"Evaluate receipts decision","condition","34","","",""
36,"If receipts accepted process expense","entity","35","","",""
37,"If receipts rejected edit report","entity","35","","",""
38,"Process the expense","entity","36","","",""
39,"End process","end","38","","",""
40,"Edit the report after reject","entity","29,33,37","","",""
41,"Return to review after edit","entity","40","","",""
42,"Is expense greater than 1000","condition","41","No","",""
43,"Review the report","entity","42","","",""
44,"Is translation needed","condition","42","","",""
45,"Translate the receipts","entity","44","","",""
46,"Confirm the receipts","entity","44","","",""
47,"Evaluate review decision","condition","43,45,46","","",""
48,"Report rejected edit the report","entity","47","","",""
49,"Report approved check need for translation","condition","47","","",""
50,"No translation needed proceed","entity","49","","",""
51,"Is translation needed again","condition","49","No","",""
52,"Edit the report","entity","50,51","","",""
53,"Translate the receipts and confirm","entity","51","","",""
54,"Evaluate receipts decision","condition","53","","",""
55,"If receipts accepted process expense","entity","54","","",""
56,"If receipts rejected edit report","entity","54","","",""
57,"Process the expense","entity","55","","",""
58,"End process","end","57","","",""
59,"Edit the report after reject","entity","48,52,56","","",""
60,"Return to review after edit","entity","59","","",""
61,"Is expense greater than 1000","condition","60","No","",""
62,"End process","end","61","","",""
63,"Review the report","entity","61","","",""
