## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label,source,base64_image
1,"start by receiving the order","start","","","",""
2,"check the order","entity","1","","",""
3,"check the customer","entity","1","","",""
4,"is the order okay","condition","2","No","",""
5,"send a refusal","entity","4","","",""
6,"end process","end","5","","",""
7,"is the customer permitted","condition","3","No","",""
8,"send a refusal","entity","7","","",""
9,"end process","end","8","","",""
10,"continue with the process","entity","4,7","","",""
11,"release the order","entity","10","","",""
12,"transfer the data in database","entity","11","","",""
13,"check the worth of the order","entity","12","","",""
14,"is the worth greater than 10000 Euro","condition","13","No","",""
15,"sign off on the order","entity","14","","",""
16,"continue with the process","entity","14","","",""
17,"sign off on the order","entity","15,16","","",""
18,"forward order to production","entity","17","","",""
19,"check the product quality","entity","18","","",""
20,"start production","entity","18","","",""
21,"produce the product","entity","18","","",""
22,"order is received and production starts","entity","20","","",""
23,"create a material report","entity","22","","",""
24,"check the product quality and create material report","entity","19,23","","",""
25,"send the material report to warehouse","entity","24","","",""
26,"create a quality report","entity","18","","",""
27,"send the product to shipment","entity","18","","",""
28,"send the order to accounting","entity","18","","",""
29,"send the material report to warehouse","entity","25","","",""
30,"end process","end","29","","",""
31,"create quality report and send product to shipment and send order to accounting","entity","26,27,28","","",""
32,"send quality report to finance","entity","31","","",""
33,"send invoice","entity","27","","",""
34,"archive quality report","entity","32","","",""
35,"end process","end","34","","",""
36,"check the payment","entity","33","","",""
37,"is payment received","condition","36","No","",""
38,"close the order","entity","37","","",""
39,"end process","end","38","","",""
40,"has reminder been sent more than three times","condition","37","No","",""
41,"send a reminder","entity","40","","",""
42,"send the reminder","entity","41","","",""
43,"acquire a lawyer","entity","40","","",""
44,"complete court proceedings","entity","43","","",""
45,"end process","end","44","","",""
46,"end process","end","42","","",""
