file,C1,C1_violating_nodes,C2,C2_violating_nodes,C3,C3_violating_nodes,C4,C4_violating_nodes,C5,C5_violating_nodes,C6,C6_violating_nodes,error
15.txt,True,,True,,True,,True,,False,"4, 7",False,"4, 5, 7, 9, 3, 10, 2, 8, 6",
14.txt,True,,True,,True,,False,73,False,"14, 15, 16, 17, 33, 35, 40, 42, 49, 65, 67, 72",True,,
16.txt,True,,True,,True,,True,,True,,True,,
17.txt,True,,True,,True,,True,,False,"9, 11",False,"7, 3, 24, 15, 32, 17, 20, 37, 27, 11, 12, 2, 22, 36, 35, 18, 9, 31, 29, 34, 33, 19, 25, 10, 1, 26, 28, 14, 4, 5, 13, 23, 21, 30, 8, 6, 16",
12.txt,True,,True,,True,,True,,True,,True,,
10.txt,True,,True,,True,,False,26,False,"10, 21, 45, 53",True,,
11.txt,True,,True,,True,,True,,True,,True,,
9.txt,True,,True,,True,,True,,True,,True,,
8.txt,True,,True,,True,,True,,True,,True,,
5.txt,True,,True,,True,,True,,True,,True,,
4.txt,True,,True,,True,,True,,True,,True,,
6.txt,True,,True,,True,,True,,True,,True,,
7.txt,True,,True,,True,,True,,True,,True,,
3.txt,True,,True,,True,,True,,False,7,False,"7, 5, 9, 8, 6",
2.txt,True,,True,,True,,True,,True,,True,,
1.txt,True,,True,,True,,True,,True,,True,,
20.txt,True,,True,,True,,True,,True,,True,,
21.txt,True,,True,,True,,True,,True,,True,,
19.txt,True,,True,,True,,True,,True,,True,,
18.txt,True,,True,,True,,True,,True,,True,,
